,Bang_cap,Nam_kinh_nghiem,Mang_cong_viec,Luong,Luong_cu,Thoi_gian_gan_bo,Nang_luc_work,Xep_loai_bang
5981,Cao dang,5,Tu van ban hang,5.25,5,14,C,Xuat sac
5982,Cao dang,3,Tu van ban hang,14.175,13.5,0,A,Trung binh
5983,Khong bang cap,1,Lap trinh vien,6.3,6,0,C,Khong xep loai
5984,Cao dang,0,PM,37.8,36,8,B,kha
5985,Cao dang,6,Tu van ban hang,17.325,16.5,4,C,kha
5986,Cao dang,7,Lap trinh vien,36.225,34.5,6,B,Xuat sac
5987,Dai hoc,4,Lap trinh vien,33.075,31.5,4,A,Xuat sac
5988,Dai hoc,0,Lap trinh vien,6.3,6,1,B,Gioi
5989,Cao dang,1,Xu ly data,6.3,6,0,B,Gioi
5990,Cao dang,4,PM,16.8,16,0,A,Gioi
5991,Dai hoc,2,Ky su R&D,31.5,30,1,D,Gioi
5992,Dai hoc,12,Lap trinh vien,22.05,21,14,B,Xuat sac
5993,Cao dang,8,Lap trinh vien,14.7,14,4,B,Xuat sac
5994,Dai hoc,1,Lap trinh vien,23.1,22,1,A,kha
5995,Cao dang,10,Lap trinh vien,23.1,22,9,A,kha
5996,Dai hoc,6,Lap trinh vien,25.2,24,8,B,kha
5997,Dai hoc,8,Tu van ban hang,14.7,14,2,D,kha
5998,Dai hoc,4,Tu van ban hang,6.3,6,12,C,kha
5999,Cao dang,1,Tu van ban hang,8.4,8,2,D,Xuat sac
6000,Khong bang cap,0,Tu van ban hang,8.4,8,0,B,Khong xep loai
6001,Cao dang,4,Tu van ban hang,13.65,13,14,C,Gioi
6002,Dai hoc,14,BA,11.55,11,12,C,Xuat sac
6003,Dai hoc,5,Lap trinh vien,6.3,6,3,C,Trung binh
6004,Dai hoc,4,Lap trinh vien,11.55,11,0,A,Trung binh
6005,Dai hoc,2,Lap trinh vien,12.6,12,1,B,Xuat sac
6006,Dai hoc,0,Tu van ban hang,11.55,11,4,D,Trung binh
6007,Dai hoc,2,Lap trinh vien,7.35,7,0,D,kha
6008,Dai hoc,9,PM,25.2,24,1,B,kha
6009,Cao dang,9,BA,7.35,7,4,C,Xuat sac
6010,Thac si,9,Lap trinh vien,25.2,24,7,A,Trung binh
6011,Cao dang,6,Lap trinh vien,4.2,4,2,D,kha
6012,Dai hoc,7,Tu van ban hang,15.75,15,1,B,Xuat sac
6013,Cao dang,0,Lap trinh vien,18.9,18,1,A,Gioi
6014,Dai hoc,11,Lap trinh vien,79.8,76,5,A,kha
6015,Dai hoc,5,PM,17.85,17,3,C,Gioi
6016,Dai hoc,1,Ky su R&D,24.15,23,14,B,Gioi
6017,Dai hoc,1,Tu van ban hang,12.6,12,9,A,Trung binh
6018,Dai hoc,29,BA,25.2,24,3,A,Gioi
6019,Dai hoc,5,Xu ly data,6.3,6,4,A,kha
6020,Cao dang,3,Tu van ban hang,11.025,10.5,4,D,Gioi
6021,Cao dang,2,Tu van ban hang,9.45,9,5,A,Trung binh
6022,Tien si,12,Ky su R&D,21,20,3,A,Khong xep loai
6023,Dai hoc,1,Ke toan,6.3,6,0,B,kha
6024,Cao dang,2,Ky su R&D,4.2,4,2,C,kha
6025,Dai hoc,3,Ky su R&D,23.1,22,2,A,Xuat sac
6026,Dai hoc,3,Lap trinh vien,5.25,5,2,D,Xuat sac
6027,Thac si,2,Tester,15.75,15,10,A,Trung binh
6028,Dai hoc,0,Lap trinh vien,15.75,15,7,A,kha
6029,Thac si,0,Lap trinh vien,18.9,18,2,A,Xuat sac
6030,Cao dang,0,Lap trinh vien,21,20,1,B,kha
6031,Khong bang cap,18,Lap trinh vien,9.45,9,6,D,Khong xep loai
6032,Khong bang cap,0,Lap trinh vien,12.6,12,1,B,Khong xep loai
6033,Cao dang,10,Lap trinh vien,16.8,16,2,D,kha
6034,Cao dang,0,Lap trinh vien,17.85,17,0,C,Xuat sac
6035,Cao dang,2,PM,16.8,16,0,B,Trung binh
6036,Khong bang cap,3,Lap trinh vien,4.2,4,4,B,Khong xep loai
6037,Cao dang,3,Lap trinh vien,31.5,30,5,A,Xuat sac
6038,Dai hoc,5,Tu van ban hang,8.4,8,8,D,Xuat sac
6039,Dai hoc,9,Ke toan,10.5,10,0,B,Gioi
6040,Cao dang,0,Tu van ban hang,10.5,10,1,C,Gioi
6041,Cao dang,0,PM,14.175,13.5,2,B,kha
6042,Cao dang,5,Lap trinh vien,15.75,15,0,A,Trung binh
6043,Dai hoc,7,PM,4.2,4,8,B,Gioi
6044,Dai hoc,4,Lap trinh vien,20.475,19.5,4,D,Trung binh
6045,Cao dang,2,Ke toan,7.35,7,0,C,Trung binh
6046,Dai hoc,0,Lap trinh vien,12.6,12,1,A,kha
6047,Cao dang,1,Xu ly data,9.45,9,1,C,Trung binh
6048,Thac si,4,Lap trinh vien,22.05,21,4,A,kha
6049,Cao dang,1,Lap trinh vien,8.4,8,0,A,kha
6050,Dai hoc,3,Tu van ban hang,11.55,11,4,D,Trung binh
6051,Cao dang,6,PM,28.35,27,2,A,Xuat sac
6052,Khong bang cap,2,Lap trinh vien,11.025,10.5,0,D,Khong xep loai
6053,Cao dang,1,Tu van ban hang,12.6,12,0,C,kha
6054,Khong bang cap,3,Lap trinh vien,12.6,12,3,A,Khong xep loai
6055,Cao dang,10,Lap trinh vien,17.85,17,2,D,kha
6056,Dai hoc,1,Ky su R&D,11.55,11,1,D,Trung binh
6057,Cao dang,0,Lap trinh vien,19.95,19,8,D,Trung binh
6058,Cao dang,23,Tu van ban hang,14.7,14,5,A,kha
6059,Cao dang,1,Tester,12.6,12,3,D,Xuat sac
6060,Khong bang cap,0,Lap trinh vien,6.3,6,1,C,Khong xep loai
6061,Cao dang,0,Xu ly data,5.25,5,1,C,kha
6062,Dai hoc,0,Tu van ban hang,14.7,14,0,D,Trung binh
6063,Dai hoc,9,Ky su R&D,6.3,6,10,A,kha
6064,Cao dang,2,BA,18.9,18,1,A,kha
6065,Cao dang,1,Lap trinh vien,15.75,15,2,B,Xuat sac
6066,Dai hoc,0,Lap trinh vien,9.45,9,1,C,kha
6067,Cao dang,9,Lap trinh vien,9.45,9,10,B,Xuat sac
6068,Cao dang,12,BA,9.45,9,1,B,kha
6069,Dai hoc,0,PM,18.9,18,9,D,Trung binh
6070,Dai hoc,2,Lap trinh vien,9.45,9,1,D,kha
6071,Dai hoc,1,Lap trinh vien,16.8,16,1,D,Trung binh
6072,Dai hoc,4,Lap trinh vien,6.3,6,3,D,Gioi
6073,Dai hoc,0,Lap trinh vien,22.05,21,1,A,Trung binh
6074,Cao dang,0,PM,7.875,7.5,0,C,kha
6075,Dai hoc,1,Lap trinh vien,21,20,1,D,Xuat sac
6076,Dai hoc,4,Lap trinh vien,22.05,21,1,A,Gioi
6077,Dai hoc,0,Lap trinh vien,10.5,10,1,B,kha
6078,Dai hoc,0,BA,16.8,16,0,D,kha
6079,Cao dang,2,Lap trinh vien,31.5,30,5,A,Gioi
6080,Cao dang,4,Lap trinh vien,25.2,24,2,A,Gioi
6081,Cao dang,0,Ke toan,10.5,10,4,A,Xuat sac
6082,Dai hoc,14,Ky su R&D,22.05,21,10,C,Xuat sac
6083,Dai hoc,5,Lap trinh vien,22.05,21,0,C,Trung binh
6084,Cao dang,2,Lap trinh vien,18.9,18,1,D,Trung binh
6085,Dai hoc,8,BA,12.6,12,9,D,kha
6086,Cao dang,1,Lap trinh vien,23.1,22,0,A,Xuat sac
6087,Cao dang,1,Xu ly data,9.45,9,4,D,Trung binh
6088,Khong bang cap,5,BA,16.8,16,4,A,Khong xep loai
6089,Dai hoc,17,Lap trinh vien,5.25,5,13,B,Gioi
6090,Dai hoc,6,Tu van ban hang,12.6,12,8,A,Trung binh
6091,Dai hoc,0,Ky su R&D,17.325,16.5,5,A,Xuat sac
6092,Dai hoc,0,Ky su R&D,21,20,0,D,kha
6093,Khong bang cap,0,Tu van ban hang,7.35,7,0,D,Khong xep loai
6094,Dai hoc,11,Tu van ban hang,12.6,12,9,C,kha
6095,Cao dang,8,Tu van ban hang,20.475,19.5,3,B,Gioi
6096,Dai hoc,12,Lap trinh vien,17.85,17,12,D,kha
6097,Dai hoc,0,Tester,5.25,5,1,C,Gioi
6098,Dai hoc,28,BA,9.45,9,2,A,Gioi
6099,Cao dang,0,Lap trinh vien,18.9,18,1,B,Xuat sac
6100,Cao dang,0,Lap trinh vien,26.775,25.5,1,B,Xuat sac
6101,Khong bang cap,0,Ky su R&D,7.875,7.5,1,A,Khong xep loai
6102,Thac si,2,Lap trinh vien,31.5,30,5,A,Gioi
6103,Dai hoc,0,Lap trinh vien,13.65,13,2,A,kha
6104,Cao dang,21,Lap trinh vien,22.05,21,7,C,Gioi
6105,Cao dang,3,Tu van ban hang,14.7,14,6,B,Xuat sac
6106,Dai hoc,0,Ke toan,11.55,11,0,C,Xuat sac
6107,Khong bang cap,0,Lap trinh vien,4.2,4,0,D,Khong xep loai
6108,Khong bang cap,5,Tu van ban hang,8.4,8,0,B,Khong xep loai
6109,Dai hoc,0,BA,13.65,13,0,D,Xuat sac
6110,Cao dang,3,Xu ly data,4.2,4,0,B,Xuat sac
6111,Dai hoc,5,Lap trinh vien,33.075,31.5,3,C,Xuat sac
6112,Dai hoc,1,Lap trinh vien,21,20,1,C,Xuat sac
6113,Cao dang,5,PM,30.45,29,4,C,Xuat sac
6114,Dai hoc,1,Ke toan,9.45,9,0,A,kha
6115,Khong bang cap,5,Lap trinh vien,17.85,17,6,A,Khong xep loai
6116,Cao dang,12,Lap trinh vien,18.9,18,4,C,kha
6117,Dai hoc,3,Ky su R&D,14.7,14,11,B,Xuat sac
6118,Khong bang cap,1,Lap trinh vien,19.95,19,1,D,Khong xep loai
6119,Cao dang,18,Lap trinh vien,24.15,23,9,D,Xuat sac
6120,Thac si,1,BA,25.2,24,2,A,Gioi
6121,Khong bang cap,13,PM,7.35,7,0,C,Khong xep loai
6122,Cao dang,0,PM,26.775,25.5,0,C,Xuat sac
6123,Cao dang,5,Tu van ban hang,11.55,11,7,B,kha
6124,Cao dang,2,Ky su R&D,14.175,13.5,0,A,Xuat sac
6125,Cao dang,6,Lap trinh vien,23.1,22,9,D,Trung binh
6126,Thac si,4,Lap trinh vien,17.85,17,9,B,Xuat sac
6127,Cao dang,1,Lap trinh vien,25.2,24,1,D,Trung binh
6128,Dai hoc,3,Lap trinh vien,29.925,28.5,13,C,Xuat sac
6129,Khong bang cap,0,Lap trinh vien,5.25,5,1,D,Khong xep loai
6130,Dai hoc,0,Lap trinh vien,24.15,23,1,A,Trung binh
6131,Cao dang,17,Lap trinh vien,15.75,15,0,B,Trung binh
6132,Cao dang,12,Lap trinh vien,16.8,16,14,D,kha
6133,Dai hoc,5,Lap trinh vien,7.35,7,5,C,kha
6134,Cao dang,0,Lap trinh vien,9.45,9,8,A,Xuat sac
6135,Dai hoc,4,Ky su R&D,24.15,23,9,A,kha
6136,Dai hoc,10,Lap trinh vien,12.6,12,3,D,Xuat sac
6137,Cao dang,3,Lap trinh vien,25.2,24,2,B,kha
6138,Dai hoc,0,BA,23.1,22,2,B,kha
6139,Dai hoc,4,Ky su R&D,29.925,28.5,3,D,Trung binh
6140,Cao dang,10,Lap trinh vien,7.35,7,4,C,Gioi
6141,Khong bang cap,1,Ky su R&D,25.2,24,8,C,Khong xep loai
6142,Cao dang,2,Lap trinh vien,9.45,9,7,C,Trung binh
6143,Dai hoc,4,Ky su R&D,8.4,8,2,A,Trung binh
6144,Dai hoc,0,PM,9.45,9,0,C,kha
6145,Cao dang,16,Ky su R&D,4.2,4,3,D,kha
6146,Dai hoc,8,Lap trinh vien,19.95,19,0,B,Gioi
6147,Cao dang,7,BA,5.25,5,2,B,Trung binh
6148,Dai hoc,10,Lap trinh vien,6.3,6,0,A,Gioi
6149,Khong bang cap,1,Tu van ban hang,5.25,5,0,B,Khong xep loai
6150,Cao dang,3,BA,11.55,11,5,D,Xuat sac
6151,Dai hoc,5,Lap trinh vien,10.5,10,3,B,Xuat sac
6152,Cao dang,3,Lap trinh vien,23.1,22,10,D,Trung binh
6153,Dai hoc,6,Tu van ban hang,9.45,9,5,C,Xuat sac
6154,Cao dang,3,Lap trinh vien,13.65,13,3,C,Trung binh
6155,Dai hoc,0,Lap trinh vien,10.5,10,0,A,Trung binh
6156,Dai hoc,0,BA,13.65,13,1,B,Trung binh
6157,Cao dang,4,Xu ly data,8.4,8,6,D,Gioi
6158,Khong bang cap,0,Tu van ban hang,10.5,10,1,D,Khong xep loai
6159,Dai hoc,0,BA,13.65,13,3,A,Trung binh
6160,Cao dang,5,Ky su R&D,18.9,18,8,B,kha
6161,Khong bang cap,1,Ky su R&D,11.55,11,0,B,Khong xep loai
6162,Cao dang,3,Lap trinh vien,36.225,34.5,3,C,Trung binh
6163,Cao dang,5,Lap trinh vien,23.1,22,9,C,Gioi
6164,Cao dang,6,Lap trinh vien,8.4,8,5,A,Trung binh
6165,Cao dang,0,Lap trinh vien,23.1,22,0,B,Gioi
6166,Khong bang cap,16,Lap trinh vien,14.7,14,6,C,Khong xep loai
6167,Khong bang cap,4,Lap trinh vien,23.1,22,0,C,Khong xep loai
6168,Dai hoc,2,Ky su R&D,7.875,7.5,0,D,Trung binh
6169,Cao dang,9,Lap trinh vien,24.15,23,9,C,Trung binh
6170,Dai hoc,10,Ky su R&D,12.6,12,3,D,Xuat sac
6171,Dai hoc,0,Lap trinh vien,22.05,21,3,C,Trung binh
6172,Cao dang,6,Lap trinh vien,25.2,24,6,A,Xuat sac
6173,Cao dang,0,Lap trinh vien,7.35,7,6,D,Xuat sac
6174,Dai hoc,2,BA,25.2,24,3,C,kha
6175,Cao dang,10,Lap trinh vien,18.9,18,5,D,kha
6176,Cao dang,2,Lap trinh vien,7.35,7,8,A,Gioi
6177,Cao dang,5,BA,11.55,11,4,A,kha
6178,Dai hoc,21,Lap trinh vien,22.05,21,8,A,Xuat sac
6179,Dai hoc,1,PM,16.8,16,3,C,Xuat sac
6180,Cao dang,3,Tester,17.325,16.5,2,C,Xuat sac
6181,Thac si,0,Xu ly data,23.625,22.5,2,A,kha
6182,Khong bang cap,0,BA,23.1,22,1,C,Khong xep loai
6183,Dai hoc,0,Lap trinh vien,16.8,16,0,B,kha
6184,Cao dang,0,Lap trinh vien,4.2,4,1,B,Xuat sac
6185,Dai hoc,13,Ky su R&D,6.3,6,4,C,Gioi
6186,Cao dang,3,Lap trinh vien,13.65,13,2,C,Gioi
6187,Dai hoc,0,Ky su R&D,18.9,18,0,D,kha
6188,Dai hoc,3,Lap trinh vien,9.45,9,11,C,Gioi
6189,Dai hoc,0,Ke toan,9.45,9,1,A,Trung binh
6190,Dai hoc,1,BA,15.75,15,2,B,kha
6191,Cao dang,0,Tu van ban hang,14.7,14,0,C,Trung binh
6192,Cao dang,0,Lap trinh vien,11.55,11,0,D,Xuat sac
6193,Khong bang cap,2,Ky su R&D,11.55,11,3,A,Khong xep loai
6194,Cao dang,11,PM,18.9,18,2,A,Trung binh
6195,Cao dang,1,PM,11.55,11,2,A,Xuat sac
6196,Dai hoc,3,Lap trinh vien,11.55,11,4,A,Xuat sac
6197,Dai hoc,0,Tu van ban hang,11.025,10.5,0,A,Xuat sac
6198,Khong bang cap,1,Lap trinh vien,33.075,31.5,1,C,Khong xep loai
6199,Thac si,0,Lap trinh vien,15.75,15,3,A,Gioi
6200,Dai hoc,0,Lap trinh vien,10.5,10,0,B,Xuat sac
6201,Dai hoc,5,Lap trinh vien,12.6,12,3,B,Gioi
6202,Thac si,1,Lap trinh vien,18.9,18,1,A,Xuat sac
6203,Khong bang cap,0,Lap trinh vien,18.9,18,7,C,Khong xep loai
6204,Dai hoc,2,BA,5.25,5,8,D,kha
6205,Cao dang,2,Lap trinh vien,7.35,7,0,D,Trung binh
6206,Dai hoc,0,Lap trinh vien,24.15,23,0,B,Xuat sac
6207,Thac si,1,Lap trinh vien,26.775,25.5,1,A,Trung binh
6208,Dai hoc,3,Lap trinh vien,18.9,18,2,C,kha
6209,Khong bang cap,0,Lap trinh vien,9.45,9,5,C,Khong xep loai
6210,Khong bang cap,3,BA,25.2,24,0,A,Khong xep loai
6211,Cao dang,1,Lap trinh vien,37.8,36,0,D,Trung binh
6212,Dai hoc,1,Lap trinh vien,23.1,22,1,D,Xuat sac
6213,Dai hoc,1,Lap trinh vien,34.65,33,3,D,Xuat sac
6214,Dai hoc,0,Tu van ban hang,4.2,4,8,B,Trung binh
6215,Khong bang cap,5,BA,5.25,5,2,B,Khong xep loai
6216,Dai hoc,0,PM,5.25,5,0,A,Trung binh
6217,Dai hoc,1,Lap trinh vien,11.025,10.5,4,A,Xuat sac
6218,Dai hoc,1,Tu van ban hang,5.25,5,0,D,Trung binh
6219,Dai hoc,0,Lap trinh vien,13.65,13,0,C,Gioi
6220,Dai hoc,0,Tu van ban hang,5.25,5,1,C,Xuat sac
6221,Dai hoc,0,Tu van ban hang,12.6,12,2,B,Gioi
6222,Khong bang cap,12,Tu van ban hang,6.3,6,8,C,Khong xep loai
6223,Dai hoc,0,Lap trinh vien,15.75,15,3,B,Gioi
6224,Cao dang,0,Tu van ban hang,5.25,5,1,A,kha
6225,Dai hoc,1,Lap trinh vien,7.35,7,1,D,Gioi
6226,Cao dang,1,BA,12.6,12,0,C,Trung binh
6227,Dai hoc,5,Lap trinh vien,13.65,13,4,A,Trung binh
6228,Dai hoc,2,Lap trinh vien,19.95,19,1,A,Xuat sac
6229,Khong bang cap,1,Lap trinh vien,4.2,4,1,B,Khong xep loai
6230,Cao dang,1,Lap trinh vien,12.6,12,0,D,Trung binh
6231,Dai hoc,2,Xu ly data,11.55,11,2,D,Gioi
6232,Cao dang,0,Lap trinh vien,9.45,9,0,C,kha
6233,Thac si,5,Xu ly data,23.625,22.5,6,A,Trung binh
6234,Cao dang,1,Ky su R&D,8.4,8,1,B,Trung binh
6235,Dai hoc,5,Ky su R&D,15.75,15,6,C,Gioi
6236,Dai hoc,9,Ky su R&D,15.75,15,8,D,Xuat sac
6237,Dai hoc,7,Ky su R&D,28.35,27,3,D,Trung binh
6238,Thac si,5,BA,17.85,17,5,A,kha
6239,Khong bang cap,15,Lap trinh vien,13.65,13,10,D,Khong xep loai
6240,Thac si,13,Lap trinh vien,22.05,21,4,A,kha
6241,Cao dang,0,Tester,8.4,8,1,C,Xuat sac
6242,Dai hoc,1,Lap trinh vien,9.45,9,2,A,Gioi
6243,Dai hoc,0,Lap trinh vien,23.625,22.5,1,B,kha
6244,Dai hoc,6,Lap trinh vien,25.2,24,7,D,kha
6245,Dai hoc,4,Ky su R&D,11.55,11,2,D,Trung binh
6246,Khong bang cap,1,Ky su R&D,25.2,24,6,D,Khong xep loai
6247,Cao dang,3,PM,26.25,25,3,C,Trung binh
6248,Cao dang,3,Lap trinh vien,18.9,18,0,B,kha
6249,Cao dang,8,Tu van ban hang,14.7,14,7,A,Gioi
6250,Cao dang,5,Xu ly data,13.65,13,1,B,kha
6251,Dai hoc,19,Lap trinh vien,25.2,24,14,A,Xuat sac
6252,Khong bang cap,2,Ky su R&D,28.35,27,2,C,Khong xep loai
6253,Dai hoc,8,BA,5.25,5,4,B,Gioi
6254,Cao dang,1,Lap trinh vien,5.25,5,0,C,Xuat sac
6255,Dai hoc,0,Ky su R&D,12.6,12,0,B,Gioi
6256,Khong bang cap,11,PM,21,20,10,A,Khong xep loai
6257,Dai hoc,1,Tester,15.75,15,2,B,Gioi
6258,Dai hoc,0,PM,13.65,13,0,D,Gioi
6259,Dai hoc,2,Ky su R&D,11.025,10.5,4,D,kha
6260,Dai hoc,9,Lap trinh vien,13.65,13,10,D,Gioi
6261,Dai hoc,4,Tu van ban hang,12.6,12,11,C,kha
6262,Khong bang cap,2,Tu van ban hang,9.45,9,3,C,Khong xep loai
6263,Cao dang,2,Lap trinh vien,16.8,16,2,C,Trung binh
6264,Khong bang cap,3,Lap trinh vien,24.15,23,3,A,Khong xep loai
6265,Thac si,0,PM,36.225,34.5,3,A,kha
6266,Cao dang,0,Ky su R&D,15.75,15,0,C,Gioi
6267,Cao dang,2,Lap trinh vien,22.05,21,5,D,kha
6268,Khong bang cap,0,Lap trinh vien,6.3,6,0,D,Khong xep loai
6269,Cao dang,14,Ky su R&D,21,20,9,D,Trung binh
6270,Dai hoc,8,BA,11.55,11,5,D,kha
6271,Cao dang,1,Xu ly data,9.45,9,1,D,Trung binh
6272,Dai hoc,5,Lap trinh vien,8.4,8,7,C,kha
6273,Cao dang,2,Lap trinh vien,24.15,23,9,A,Xuat sac
6274,Cao dang,0,Ky su R&D,12.6,12,1,A,kha
6275,Khong bang cap,6,Lap trinh vien,23.1,22,0,C,Khong xep loai
6276,Cao dang,1,Lap trinh vien,16.8,16,0,D,kha
6277,Cao dang,0,Lap trinh vien,37.8,36,12,B,kha
6278,Khong bang cap,3,BA,11.55,11,6,D,Khong xep loai
6279,Khong bang cap,0,Ky su R&D,5.25,5,0,A,Khong xep loai
6280,Dai hoc,7,Tester,17.325,16.5,9,C,kha
6281,Cao dang,2,Tu van ban hang,9.45,9,0,B,Gioi
6282,Dai hoc,6,Lap trinh vien,17.85,17,4,C,kha
6283,Cao dang,2,Lap trinh vien,11.55,11,7,D,Trung binh
6284,Dai hoc,0,Ky su R&D,13.65,13,0,B,Xuat sac
6285,Cao dang,0,BA,16.8,16,0,A,Trung binh
6286,Dai hoc,4,BA,7.875,7.5,2,B,kha
6287,Khong bang cap,4,Lap trinh vien,17.85,17,2,B,Khong xep loai
6288,Khong bang cap,0,PM,14.7,14,0,A,Khong xep loai
6289,Cao dang,15,Ky su R&D,7.35,7,1,A,Trung binh
6290,Cao dang,0,Lap trinh vien,19.95,19,0,C,Gioi
6291,Dai hoc,5,Lap trinh vien,36.225,34.5,4,B,Gioi
6292,Khong bang cap,14,BA,11.55,11,6,B,Khong xep loai
6293,Cao dang,3,BA,4.2,4,8,D,Trung binh
6294,Tien si,27,Ky su R&D,22.05,21,9,A,Khong xep loai
6295,Cao dang,10,Ky su R&D,4.2,4,6,C,Gioi
6296,Cao dang,12,Tu van ban hang,6.3,6,14,C,Xuat sac
6297,Cao dang,11,Tester,12.6,12,11,A,kha
6298,Dai hoc,1,Lap trinh vien,28.35,27,0,D,Gioi
6299,Khong bang cap,4,Lap trinh vien,11.55,11,0,D,Khong xep loai
6300,Cao dang,0,Lap trinh vien,17.85,17,3,D,Gioi
6301,Khong bang cap,1,PM,28.35,27,5,C,Khong xep loai
6302,Khong bang cap,0,Lap trinh vien,13.65,13,1,B,Khong xep loai
6303,Thac si,0,Lap trinh vien,18.9,18,2,A,Gioi
6304,Dai hoc,0,Lap trinh vien,11.025,10.5,2,A,Gioi
6305,Cao dang,6,PM,22.05,21,8,A,kha
6306,Khong bang cap,6,Lap trinh vien,6.3,6,2,C,Khong xep loai
6307,Dai hoc,10,BA,22.05,21,4,C,Gioi
6308,Khong bang cap,0,Lap trinh vien,17.85,17,0,B,Khong xep loai
6309,Dai hoc,2,Lap trinh vien,24.15,23,1,A,Gioi
6310,Dai hoc,2,Ke toan,11.55,11,3,A,Trung binh
6311,Cao dang,6,Lap trinh vien,16.8,16,2,D,Xuat sac
6312,Cao dang,9,PM,22.05,21,2,D,Gioi
6313,Cao dang,4,Ky su R&D,31.5,30,1,B,Trung binh
6314,Dai hoc,4,Tester,9.45,9,4,B,kha
6315,Dai hoc,2,Lap trinh vien,9.45,9,0,B,kha
6316,Cao dang,0,Xu ly data,14.7,14,0,C,Gioi
6317,Cao dang,14,Xu ly data,5.25,5,5,A,Trung binh
6318,Dai hoc,0,Lap trinh vien,12.6,12,0,B,Gioi
6319,Dai hoc,0,Lap trinh vien,15.75,15,0,B,Trung binh
6320,Cao dang,0,PM,24.15,23,1,A,Trung binh
6321,Cao dang,2,Lap trinh vien,8.4,8,1,D,Xuat sac
6322,Dai hoc,15,Lap trinh vien,16.8,16,11,D,Gioi
6323,Dai hoc,0,BA,13.65,13,3,C,Xuat sac
6324,Cao dang,5,BA,13.65,13,8,D,Xuat sac
6325,Cao dang,5,Lap trinh vien,25.2,24,5,A,Xuat sac
6326,Khong bang cap,6,Xu ly data,11.55,11,12,D,Khong xep loai
6327,Cao dang,0,BA,13.65,13,1,B,Gioi
6328,Dai hoc,0,Lap trinh vien,10.5,10,0,B,Gioi
6329,Cao dang,2,Lap trinh vien,5.25,5,3,A,Xuat sac
6330,Dai hoc,14,Lap trinh vien,13.65,13,9,A,kha
6331,Khong bang cap,1,Tu van ban hang,9.45,9,1,B,Khong xep loai
6332,Dai hoc,2,Ke toan,12.6,12,1,B,Xuat sac
6333,Dai hoc,3,Ky su R&D,18.9,18,2,B,kha
6334,Khong bang cap,0,BA,9.45,9,0,C,Khong xep loai
6335,Dai hoc,6,BA,10.5,10,2,B,kha
6336,Dai hoc,5,Lap trinh vien,7.35,7,6,B,Gioi
6337,Cao dang,15,Lap trinh vien,22.05,21,3,A,Gioi
6338,Thac si,4,Tu van ban hang,15.75,15,2,A,kha
6339,Cao dang,5,Tu van ban hang,11.55,11,5,A,Trung binh
6340,Dai hoc,4,BA,25.2,24,4,C,Xuat sac
6341,Dai hoc,5,Ky su R&D,14.175,13.5,5,D,kha
6342,Dai hoc,1,Lap trinh vien,5.25,5,3,B,kha
6343,Cao dang,6,Tu van ban hang,6.3,6,5,B,Trung binh
6344,Khong bang cap,13,Lap trinh vien,6.3,6,5,B,Khong xep loai
6345,Cao dang,3,Lap trinh vien,9.45,9,3,B,kha
6346,Khong bang cap,9,Lap trinh vien,12.6,12,8,A,Khong xep loai
6347,Cao dang,5,Lap trinh vien,19.95,19,2,A,Xuat sac
6348,Cao dang,1,PM,17.325,16.5,0,B,Xuat sac
6349,Cao dang,6,Ky su R&D,7.35,7,5,A,Xuat sac
6350,Thac si,18,Tu van ban hang,15.75,15,7,A,Xuat sac
6351,Dai hoc,2,Lap trinh vien,10.5,10,3,B,Gioi
6352,Cao dang,0,Lap trinh vien,4.2,4,1,C,Xuat sac
6353,Dai hoc,5,Lap trinh vien,5.25,5,10,D,kha
6354,Khong bang cap,5,Lap trinh vien,11.55,11,4,C,Khong xep loai
6355,Cao dang,1,Lap trinh vien,14.7,14,0,C,Gioi
6356,Khong bang cap,0,Lap trinh vien,16.8,16,0,B,Khong xep loai
6357,Dai hoc,5,BA,13.65,13,5,A,Trung binh
6358,Khong bang cap,8,BA,16.8,16,5,A,Khong xep loai
6359,Dai hoc,1,Ky su R&D,22.05,21,2,D,Gioi
6360,Cao dang,1,Tu van ban hang,11.55,11,8,D,kha
6361,Cao dang,3,Xu ly data,12.6,12,3,A,Xuat sac
6362,Khong bang cap,7,Ky su R&D,15.75,15,5,B,Khong xep loai
6363,Khong bang cap,1,Tu van ban hang,11.55,11,0,D,Khong xep loai
6364,Cao dang,12,BA,14.7,14,2,B,kha
6365,Khong bang cap,2,Lap trinh vien,12.6,12,1,B,Khong xep loai
6366,Cao dang,1,PM,30.45,29,8,B,Trung binh
6367,Cao dang,3,Ky su R&D,17.85,17,9,C,Xuat sac
6368,Cao dang,9,PM,15.75,15,0,C,Trung binh
6369,Dai hoc,2,Lap trinh vien,22.05,21,2,B,Trung binh
6370,Dai hoc,1,BA,21,20,0,A,Gioi
6371,Cao dang,0,BA,4.2,4,2,B,Xuat sac
6372,Dai hoc,0,BA,22.05,21,2,C,Gioi
6373,Dai hoc,1,Lap trinh vien,34.65,33,0,C,Gioi
6374,Cao dang,6,Lap trinh vien,14.175,13.5,0,C,Xuat sac
6375,Khong bang cap,3,Lap trinh vien,8.4,8,0,C,Khong xep loai
6376,Dai hoc,3,BA,7.35,7,12,D,kha
6377,Dai hoc,0,Tu van ban hang,9.45,9,1,B,Trung binh
6378,Cao dang,3,Ky su R&D,9.45,9,6,D,Gioi
